928 2754
320 214 47
14 261 207
739 72 86
890 392 4
467 9 383
685 678 699
657 38 5
885 210 435
255 815 940
177 398 952
396 325 251
372 822 619
872 398 396
194 528 725
367 922 149
36 778 632
767 240 502
836 313 837
157 283 659
291 384 337
545 590 994
232 568 58
125 828 185
126 446 306
585 77 730
831 688 954
303 24 48
596 547 618
251 437 408
501 27 269
468 259 244
26 475 627
753 778 100
184 244 497
899 86 536
434 596 837
273 737 454
693 788 644
419 493 822
62 738 875
66 284 138
307 551 503
840 872 334
171 645 205
865 12 533
483 599 679
557 828 123
640 221 307
490 480 847
357 689 884
538 698 595
43 874 86
760 443 436
64 755 176
787 220 794
267 680 772
375 371 45
138 513 680
675 414 159
252 353 72
879 449 895
50 918 564
780 497 778
893 493 376
95 404 757
101 387 978
512 593 386
426 116 656
859 278 598
793 498 587
522 211 721
630 340 495
808 632 808
291 439 779
2 415 602
545 423 630
669 33 472
687 742 846
237 518 795
455 617 965
719 411 761
689 658 403
295 691 31
268 786 49
699 26 129
779 604 78
668 354 300
114 525 573
87 880 90
107 202 226
408 909 213
361 494 820
263 909 592
417 130 168
425 358 515
446 903 310
334 746 894
31 3 2
795 283 178
169 99 740
459 422 567
409 572 304
287 283 552
134 53 375
360 904 854
238 875 272
648 494 110
155 190 624
406 170 256
18 425 190
315 628 682
428 544 64
257 338 884
869 788 680
30 424 161
848 272 343
370 6 777
634 461 575
685 841 246
135 252 657
166 701 570
810 185 87
17 145 212
779 375 9
776 91 881
843 591 7
550 481 26
922 90 532
24 550 636
789 275 100
517 46 494
85 583 690
339 225 932
264 586 555
328 793 38
169 89 661
882 506 784
575 176 357
338 585 564
766 793 819
253 217 160
627 516 423
194 847 602
924 763 859
62 465 555
428 643 361
135 866 866
534 596 448
159 891 537
685 550 873
144 19 162
894 840 902
185 818 966
923 719 794
507 645 104
574 567 159
100 518 643
70 481 178
201 224 722
768 330 427
487 633 400
448 346 646
530 200 363
863 511 709
192 656 801
725 279 362
396 692 752
391 542 30
746 72 513
325 205 992
370 259 854
844 420 687
241 28 475
174 348 717
759 279 789
196 539 557
30 806 872
790 527 978
292 409 692
83 631 258
81 785 71
639 101 972
394 657 640
487 763 824
692 102 202
351 631 817
515 629 604
556 527 84
562 468 397
240 386 889
843 481 697
386 5 246
383 515 172
404 726 791
601 737 565
203 549 875
868 48 669
371 567 591
844 60 937
618 845 958
171 651 894
710 587 465
465 354 187
871 515 763
722 649 130
827 476 73
830 406 961
904 548 330
589 482 748
723 280 770
274 853 763
793 123 257
635 728 577
146 813 9
913 922 526
594 803 640
553 732 548
441 443 177
858 455 80
151 730 817
740 558 391
82 867 870
270 583 85
580 654 881
215 178 744
839 190 591
678 805 709
920 913 835
261 228 307
29 86 204
874 679 932
163 289 735
688 235 40
696 226 795
187 734 854
50 491 465
312 95 799
597 689 198
650 356 211
306 44 673
861 378 366
97 463 82
823 828 157
358 690 690
461 113 621
128 374 504
759 851 161
720 682 42
139 731 366
166 921 31
65 1 485
677 391 766
90 129 407
544 223 150
703 101 284
644 117 513
163 738 623
320 826 634
589 117 651
845 686 329
869 638 24
90 377 569
274 24 603
858 249 203
849 662 150
502 18 538
94 407 362
703 110 895
286 232 133
892 213 832
435 859 64
654 478 11
69 604 159
355 580 56
890 79 594
339 20 241
596 763 703
98 492 295
177 662 284
863 175 946
498 235 374
74 272 815
767 213 696
246 565 538
399 113 577
293 770 3
480 120 321
153 44 932
489 118 741
913 379 875
777 234 993
888 586 965
898 281 300
628 36 343
316 413 564
540 473 294
386 248 906
907 39 270
568 482 871
337 245 550
851 299 476
326 419 624
380 306 834
591 563 796
587 404 603
139 734 328
356 876 811
58 896 479
272 294 570
90 882 418
752 117 676
532 906 325
249 492 494
66 895 103
431 231 925
323 97 700
503 572 872
330 398 721
231 493 475
275 403 648
673 670 115
523 225 322
443 405 56
875 179 467
913 821 412
845 273 580
561 826 750
696 813 400
520 651 322
210 713 880
500 868 709
925 413 646
279 633 73
917 53 384
890 214 615
714 910 641
325 538 712
343 267 62
201 544 261
156 590 722
239 233 164
254 604 651
717 863 980
823 378 572
663 281 173
340 648 254
822 805 17
589 300 429
128 459 564
137 619 975
803 858 874
724 116 320
366 192 458
171 595 747
629 603 362
289 286 939
313 736 1000
341 600 590
358 817 83
826 583 880
347 767 619
299 41 611
536 844 989
427 188 941
304 299 293
206 777 292
678 493 791
44 222 631
244 649 283
42 792 358
296 704 685
889 689 136
114 483 309
720 142 672
172 329 741
376 794 881
711 842 576
681 196 883
92 634 423
160 681 41
793 232 970
302 479 299
88 746 223
859 808 93
823 768 807
473 787 589
69 398 449
579 320 576
215 664 691
403 766 747
200 729 900
170 332 424
203 918 790
539 755 267
28 468 439
143 335 775
923 191 454
530 326 950
406 366 524
503 889 457
238 478 773
240 876 48
273 159 978
629 90 884
310 618 537
834 373 787
734 317 569
44 378 640
63 192 135
265 695 457
792 589 365
928 243 533
920 168 506
352 391 517
614 232 271
216 895 674
186 151 476
513 660 516
543 50 759
841 865 142
146 237 671
829 382 66
11 924 979
800 649 829
128 341 801
595 838 543
167 485 671
584 624 987
727 884 760
519 147 634
670 537 335
203 213 786
490 770 508
268 335 98
299 737 803
875 168 850
920 730 903
890 670 339
896 92 287
388 876 710
46 337 521
411 413 429
321 410 331
774 759 94
695 172 381
698 9 905
890 328 974
564 671 736
249 76 799
593 482 295
745 142 10
72 404 915
856 716 239
232 147 263
157 202 677
579 826 75
474 307 805
100 128 923
610 37 60
738 896 681
885 316 333
639 339 811
236 604 387
799 638 268
859 369 426
408 175 663
454 755 344
310 740 618
247 764 430
575 484 28
887 712 135
571 276 70
207 818 403
127 714 588
589 577 531
839 686 207
93 571 952
19 85 432
683 926 407
631 464 803
746 107 974
739 776 228
213 116 984
225 112 219
517 371 492
855 338 618
765 187 579
419 192 750
322 780 848
116 499 617
303 145 663
520 641 90
860 174 639
348 861 37
245 635 203
790 493 284
375 344 10
674 605 314
238 811 894
871 437 970
704 222 124
833 624 186
38 726 124
250 694 650
246 540 230
221 891 921
616 302 997
886 798 533
640 878 24
385 356 890
792 817 315
738 887 410
672 227 819
800 38 622
125 862 769
657 397 803
757 897 316
224 694 185
385 258 819
421 413 288
129 34 255
713 266 502
486 473 314
133 907 646
898 125 838
348 304 214
410 298 18
101 925 921
433 48 973
186 570 993
152 770 304
683 863 979
515 418 342
920 809 671
349 410 826
450 633 659
347 882 999
386 487 299
456 764 361
740 774 49
429 814 396
81 247 760
238 399 874
83 578 451
641 240 419
730 81 425
544 533 600
634 806 708
506 891 149
794 156 953
450 18 47
649 259 54
455 216 200
152 356 121
662 611 377
834 137 750
829 740 861
600 402 167
185 915 450
376 86 942
673 909 997
156 36 600
384 752 15
807 682 144
911 200 626
742 632 130
679 31 761
849 662 535
292 152 473
382 770 774
815 500 615
316 238 591
316 619 232
177 283 830
312 662 242
495 756 974
32 605 718
762 636 375
86 841 180
357 606 301
626 464 484
2 87 93
60 823 315
101 856 147
897 141 199
789 464 433
110 132 489
234 473 31
30 689 377
387 103 550
106 848 367
376 485 706
874 597 186
560 313 3
479 322 148
194 22 198
82 265 405
425 508 84
847 524 185
481 349 912
872 341 255
415 915 619
195 151 25
897 184 765
73 415 118
674 575 448
514 284 438
350 240 894
215 251 892
106 228 834
20 72 420
318 175 764
788 617 316
120 697 134
333 319 723
826 835 926
180 466 285
683 866 375
795 390 885
350 499 878
33 669 180
731 565 614
792 69 368
881 455 566
551 599 16
469 881 613
725 70 680
742 573 304
206 374 702
428 365 555
843 769 837
561 384 744
188 277 568
196 593 792
848 286 739
86 566 797
801 56 719
101 270 307
927 713 697
38 768 169
166 393 789
216 476 997
600 790 54
355 401 215
610 198 364
16 453 956
238 90 398
550 384 696
113 167 509
865 662 961
493 566 131
611 312 490
322 695 552
761 343 340
62 541 834
585 821 831
472 928 238
232 413 567
183 243 234
110 341 408
560 874 82
311 203 195
324 708 187
640 120 205
678 69 334
640 70 250
521 797 723
488 545 37
96 4 192
838 84 288
430 917 184
762 765 743
626 764 515
508 790 309
857 711 893
599 828 664
227 693 746
203 593 391
342 361 53
311 840 66
41 586 951
690 330 847
803 63 599
135 360 964
616 342 727
222 75 433
854 781 163
23 798 398
475 244 826
581 884 31
323 353 351
85 179 134
398 119 553
207 793 13
628 485 708
560 343 494
443 329 848
147 143 355
328 346 643
95 688 28
296 748 893
170 632 16
493 172 578
76 498 412
274 219 219
850 467 968
879 295 154
159 278 290
824 541 948
878 868 800
875 894 21
739 52 366
543 8 794
15 41 502
763 888 50
749 734 766
47 543 765
815 821 181
725 105 380
773 17 410
571 437 397
768 494 552
134 295 169
72 907 40
293 188 138
544 103 224
686 480 253
870 193 435
832 238 772
761 669 571
889 133 856
30 588 320
778 240 880
747 59 205
685 421 739
428 560 826
614 574 743
207 402 472
30 338 858
16 162 682
669 410 903
285 282 928
599 780 880
506 399 907
840 56 28
811 323 989
391 381 851
174 299 202
148 758 8
464 374 637
222 553 285
827 851 21
107 4 692
427 454 986
573 538 413
522 761 576
479 346 968
331 189 30
562 776 107
532 19 410
538 601 445
527 88 646
70 186 513
917 289 190
658 71 714
69 745 51
168 540 311
171 190 949
668 18 439
199 185 194
457 808 757
712 818 828
682 552 86
677 834 205
334 170 857
373 86 810
894 746 518
219 521 777
54 79 45
805 93 442
286 345 235
458 840 901
104 779 533
386 20 589
589 650 287
554 726 262
335 523 984
877 356 416
499 914 323
168 793 991
708 502 574
195 162 863
543 772 692
714 264 70
745 39 127
115 786 910
249 782 842
477 493 469
356 755 589
290 695 993
244 629 943
428 502 650
48 654 309
657 271 374
443 506 811
238 86 562
57 381 192
181 644 886
137 180 997
885 513 180
126 894 674
413 612 503
77 324 686
657 31 424
359 102 24
213 142 573
871 202 600
663 722 854
81 451 243
57 734 135
795 94 628
674 609 146
672 641 667
20 787 348
53 768 405
440 636 79
569 461 448
246 347 814
240 855 486
419 910 101
389 777 394
104 75 511
200 427 454
892 451 195
12 300 76
306 643 673
323 903 958
567 455 755
477 797 751
651 104 682
406 66 713
298 361 214
759 651 570
412 684 589
588 645 230
708 851 763
682 663 427
270 693 303
